Date,Team,Agent,Calls_Handled,SLA_Percentage,AHT_Seconds,CSAT,Escalated_Cases,Resolution_Rate
2025-06-29,Team D,Aaron,80,94.07,391,4.51,3,99.95
2025-01-10,Team A,John,79,96.45,322,4.07,0,97.06
2025-09-02,Team B,Chris,69,88.66,329,4.39,1,96.06
2025-09-26,Team A,Amy,68,93.77,262,4.06,4,91.28
2025-06-13,Team B,John,47,89.88,278,4.24,4,95.09
2025-11-28,Team D,Grace,79,94.51,416,3.99,0,92.09
2025-07-26,Team B,Jason,78,94.51,324,4.36,1,97.18
2025-07-31,Team B,Mary,93,93.7,281,4.33,4,97.01
2025-07-23,Team D,David,66,97.5,299,4.65,2,95.36
2025-12-02,Team B,Sarah,105,92.07,358,4.69,4,95.83
2025-01-30,Team C,Kevin,93,89.72,312,4.3,1,98.5
2025-12-01,Team D,Nicole,98,93.96,357,4.85,1,98.81
2025-09-26,Team A,David,101,97.14,317,4.74,0,97.94
2025-01-26,Team B,Rachel,66,96.19,390,4.47,2,97.94
2025-06-05,Team B,Nicole,80,94.64,350,5,2,95.18
2025-09-26,Team C,Aaron,69,92.36,283,4.46,3,94.75
2025-06-28,Team B,Grace,76,98.4,421,4.95,1,91.31
2025-02-11,Team A,Lisa,75,100,356,4.31,0,95.36
2025-03-27,Team A,Rachel,85,93.98,334,4.77,5,100
2025-10-20,Team B,Aaron,77,91.54,319,4.42,2,94.54
2025-08-09,Team D,Jason,93,98.11,358,4.07,0,97.19
2025-06-09,Team D,John,78,88.04,321,4.87,4,94.59
2025-02-12,Team A,Rachel,62,92.74,379,5,4,95.12
2025-03-12,Team C,Ryan,80,90.91,251,4.51,2,98.12
2025-08-08,Team B,Emma,112,94.66,303,4.25,1,97.98
2025-01-16,Team C,Rachel,71,95.47,367,4.55,2,94.92
2025-05-22,Team C,Rachel,71,92.6,321,4.19,0,96.74
2025-03-10,Team D,Sophia,101,93.83,348,4.48,1,98.47
2025-12-21,Team C,Mary,109,94.46,396,4.51,2,95.44
2025-12-01,Team C,Chris,75,94.36,344,4.66,4,97.34
2025-06-14,Team A,David,105,94.79,427,4.63,2,97.54
2025-10-12,Team B,Emma,107,89.74,292,4.59,1,94.35
2025-08-06,Team B,Chris,84,92.37,375,4.73,4,95.56
2025-05-09,Team A,Daniel,122,88.5,249,4.28,3,92.92
2025-09-08,Team D,Emma,83,90.05,351,4.83,0,96.35
2025-07-14,Team D,David,47,92.91,326,4.29,1,93.36
2025-04-20,Team D,Sophia,72,92.18,267,4.26,2,97.25
2025-10-01,Team C,Aaron,88,97.45,185,4.52,4,95.45
2025-06-08,Team B,Sophia,61,93.28,369,4.33,2,97.01
2025-12-13,Team A,Grace,103,93.85,314,3.66,3,97
2025-01-31,Team C,Olivia,86,90.91,450,4.79,3,98.23
2025-01-28,Team A,Mary,85,92.53,305,4.45,1,95.49
2025-11-07,Team D,Emma,44,91.59,371,4.34,1,93.84
2025-07-25,Team C,Rachel,76,97.36,414,4.56,4,97.2
2025-11-14,Team B,Alex,79,96.22,354,4.42,4,93.11
2025-08-04,Team D,Chris,109,96.56,346,4.79,2,95.6
2025-12-08,Team D,David,70,90.04,279,4.67,2,98.32
2025-01-21,Team D,Sophia,82,89.94,312,4.51,3,94.79
2025-01-16,Team D,David,78,88.51,358,4.82,1,95.36
2025-09-06,Team D,Alex,87,94.36,308,4.75,0,95.63
2025-06-29,Team B,Chris,100,90.88,382,4.45,0,95.98
2025-05-17,Team C,Amy,89,93.79,255,4.8,2,97.53
2025-10-02,Team C,Amy,70,90.52,385,4.48,3,92.82
2025-12-09,Team A,Rachel,78,92.48,235,4.09,2,93.63
2025-05-26,Team D,John,114,99.34,317,4.46,2,95.48
2025-05-08,Team B,Lisa,88,93.3,293,4.23,2,97.62
2025-08-21,Team B,Grace,82,93.34,326,3.68,2,97.84
2025-11-24,Team D,Jason,68,90.68,293,4.97,1,95.7
2025-05-11,Team B,Emma,66,91.79,267,4.26,0,95.1
2025-03-09,Team B,Mary,54,94.6,352,4.71,1,92.02
2025-11-03,Team C,Ryan,77,91.2,275,4.42,2,97
2025-06-17,Team C,Alex,55,94.69,333,3.72,2,96.05
2025-05-20,Team C,Lisa,64,98.29,281,4.33,0,96.17
2025-03-28,Team D,Michael,85,91.25,231,5,2,91.59
2025-07-03,Team D,Jason,88,88.73,328,4.82,1,98.84
2025-04-29,Team C,Ryan,115,96.27,302,4.62,2,94.28
2025-02-13,Team B,Emma,98,87.33,294,4.34,3,94.03
2025-06-21,Team A,Emma,63,92.28,292,4.17,1,98.61
2025-07-10,Team A,Jason,97,93.03,372,4.52,1,94.09
2025-02-10,Team D,Sophia,92,92.92,278,4.22,3,94.83
2025-01-10,Team B,Grace,82,95.77,296,3.97,1,98.48
2025-01-09,Team C,Rachel,81,98.81,275,4.18,3,93.08
2025-01-17,Team B,Lisa,73,87.25,275,4.49,2,95.95
2025-03-23,Team B,Sophia,87,92.75,297,4.24,1,95
2025-04-09,Team C,Daniel,82,93.58,271,4.25,3,94.57
2025-10-12,Team B,Ryan,111,90.32,214,4.58,1,97.17
2025-03-20,Team C,John,87,88.29,326,4.1,0,93.82
2025-11-07,Team C,Amy,74,95.02,230,4.8,2,98.25
2025-01-04,Team B,Mary,79,92.91,340,4.15,1,95.42
2025-08-31,Team B,Kevin,82,96.02,317,4.95,2,97.34
2025-08-16,Team B,Alex,61,94.29,370,4.54,3,95.54
2025-04-08,Team C,Kevin,92,92.75,310,4.6,2,99.69
2025-12-22,Team B,Olivia,80,94.35,337,4.67,0,93.92
2025-12-23,Team A,Grace,71,88.58,268,4.07,4,96.79
2025-12-27,Team B,Michael,119,88.68,384,4.6,0,97
2025-12-24,Team C,Sophia,74,95.69,303,4.51,3,97.4
2025-06-10,Team D,Ryan,90,98.16,289,4.79,2,99.15
2025-11-17,Team B,Sophia,98,96.82,253,4.37,1,96.27
2025-08-26,Team D,David,70,94.96,328,4.31,3,97.99
2025-11-11,Team D,Grace,71,91.25,376,4.18,1,97.71
2025-03-30,Team C,Ryan,76,88.12,296,4.02,2,99
2025-05-13,Team C,Emma,74,96.44,342,4.82,1,95.59
2025-06-09,Team A,Chris,87,91.91,397,5,2,96.21
2025-05-29,Team C,Michael,82,92.21,248,4.37,3,95.49
2025-07-21,Team D,John,74,98.38,340,4.63,0,94.42
2025-06-25,Team A,Sophia,88,90.9,274,4.4,5,92.76
2025-06-26,Team D,Emma,81,90.71,271,4.62,1,96.18
2025-10-10,Team D,Jason,96,92.58,449,3.92,2,100
2025-08-11,Team D,Aaron,103,96.1,311,4.28,2,96.6
2025-04-17,Team C,Jason,81,92.1,225,4.33,4,96.66
2025-02-25,Team A,Michael,100,95.8,334,4.08,1,98.91
2025-12-08,Team A,Sophia,58,88.71,223,4.33,2,92.96
2025-06-28,Team C,Aaron,122,98.34,285,4.72,3,95.39
2025-12-04,Team B,Grace,79,89.52,233,4.49,2,94.65
2025-12-15,Team B,John,83,88.77,300,4.4,1,93.85
2025-06-18,Team C,Amy,95,96.12,277,4.79,2,96.26
2025-08-21,Team A,Rachel,89,96.3,207,4.06,1,95.71
2025-01-21,Team C,Amy,83,93.29,365,4.91,1,97.28
2025-05-19,Team A,Ryan,117,91.9,420,4.64,4,92.86
2025-12-31,Team D,Kevin,80,99.42,407,4.17,2,98.92
2025-07-01,Team A,Sarah,80,98.83,312,4.71,3,91.9
2025-01-09,Team C,Mary,99,93.13,381,4.23,3,97.03
2025-02-26,Team A,Michael,75,94.52,284,4.47,2,98
2025-02-12,Team B,Lisa,98,93.44,271,4.28,1,98.66
2025-04-19,Team A,John,74,89.76,326,4.37,1,93.68
2025-08-01,Team B,David,79,91.45,345,4.21,4,93.74
2025-07-15,Team C,Chris,68,92.2,377,4.59,4,98.23
2025-10-11,Team D,Daniel,82,92.39,300,4.16,1,94.46
2025-09-11,Team D,John,84,90.23,347,4.59,1,93.11
2025-01-31,Team A,Lisa,72,97.37,346,4.49,6,93.36
2025-09-30,Team B,Alex,64,90.34,277,4.18,1,97.73
2025-09-23,Team C,Sophia,101,93.86,272,4.21,4,94.38
2025-09-12,Team C,Sophia,79,93.81,244,4.19,1,94.15
2025-10-14,Team B,Sarah,76,99.51,311,4.38,2,95.85
2025-03-05,Team C,Mary,72,92.95,318,4.24,1,99.25
2025-10-10,Team A,Aaron,64,92.17,316,4.63,0,97.06
2025-04-22,Team D,Aaron,88,93.13,305,4.24,1,96.14
2025-10-02,Team C,David,100,89.85,265,4.5,3,97.18
2025-07-06,Team A,Lisa,100,88.87,307,4.68,0,91.69
2025-05-08,Team D,Alex,88,84.08,256,4.18,3,96.58
2025-07-31,Team B,Olivia,94,94.42,338,4.35,3,97.5
2025-07-16,Team D,Lisa,76,99.04,457,4.33,2,96.21
2025-09-13,Team D,Michael,109,92.46,351,4.64,2,96.37
2025-10-31,Team C,David,68,93.08,316,4.6,2,94.02
2025-11-16,Team A,Sarah,101,92.36,296,4.18,0,94.66
2025-03-19,Team A,Jason,73,96.32,196,4.26,2,96.45
2025-10-06,Team C,John,64,99.41,352,4.05,2,95.42
2025-05-26,Team A,Aaron,95,94.24,256,4.33,2,95.64
2025-10-17,Team C,Jason,87,90.77,294,4.06,4,95.65
2025-02-28,Team C,Grace,86,97.41,316,4.34,5,97.49
2025-06-15,Team A,Rachel,87,90.26,348,4.43,3,98.02
2025-03-02,Team B,Olivia,119,92.46,275,4.41,2,96.05
2025-11-21,Team C,Olivia,68,93.22,287,4.46,1,93.65
2025-10-28,Team A,John,108,88.91,441,4.12,1,96.82
2025-03-01,Team A,Aaron,109,92.5,372,4.22,1,94.99
2025-05-29,Team D,Grace,69,91.26,372,4.1,3,92.92
2025-07-30,Team B,Rachel,97,90.18,273,4.45,1,96.45
2025-04-13,Team D,Lisa,105,96.28,368,4.52,4,96.11
2025-11-26,Team C,Sarah,93,87.7,356,4.23,0,96.73
2025-10-07,Team B,Emma,102,90.12,260,4.24,1,95.63
2025-10-26,Team C,Amy,99,84.34,305,3.9,1,96.27
2025-07-25,Team B,Michael,109,98.56,305,4.07,0,93.71
2025-08-16,Team C,Emma,91,97.97,322,3.94,2,95.93
2025-10-14,Team C,Aaron,91,89.44,303,4.6,3,97.02
2025-03-04,Team D,Mary,94,93.92,341,4.35,0,94.23
2025-02-25,Team C,Sophia,79,91.9,358,4.17,1,96.31
2025-10-26,Team D,Emma,74,86.56,358,4.6,3,95.98
2025-02-05,Team C,Alex,68,93.74,284,4,1,97.18
2025-12-17,Team A,Sophia,95,94.73,345,4.73,3,97.28
2025-04-21,Team C,Emma,79,92.77,236,4.66,3,90.47
2025-08-18,Team D,Kevin,59,95.55,381,4.19,1,93.1
2025-07-23,Team D,Emma,82,97.6,300,4.26,1,99.07
2025-05-07,Team B,Sophia,88,92.71,381,4.32,3,95.39
2025-05-01,Team D,Ryan,94,91.62,266,4.23,1,94.85
2025-09-05,Team B,Kevin,109,94.42,213,4.57,3,94.74
2025-09-14,Team B,Aaron,65,93.56,243,4.71,0,97.46
2025-04-25,Team B,Grace,83,89,273,4.52,1,94.47
2025-03-14,Team D,Grace,74,97.42,303,4.2,0,96.77
2025-12-12,Team B,Ryan,102,98.5,231,4.03,1,95.4
2025-01-06,Team B,Emma,78,87.11,296,4.3,2,95.43
2025-11-04,Team B,Mary,102,92.22,371,4.62,1,97.06
2025-07-23,Team A,Aaron,61,95.72,340,4.38,8,94.41
2025-02-01,Team A,Mary,81,97.39,251,4.39,2,98.06
2025-01-11,Team A,Michael,59,96.01,274,4.59,1,97.16
2025-03-30,Team A,Alex,88,90.23,252,4.7,2,95.08
2025-10-23,Team A,Jason,60,92.18,387,4.82,2,96.5
2025-02-20,Team D,Kevin,98,99.15,299,4.19,2,93.29
2025-08-20,Team D,Mary,83,96.99,275,4.99,1,94.53
2025-09-26,Team D,Rachel,68,87.96,319,4.69,3,96.96
2025-09-25,Team A,Nicole,84,92.39,311,4.66,3,97.51
2025-09-29,Team A,David,94,92.16,250,4.52,2,95.39
2025-06-11,Team A,Grace,100,91.91,335,4.69,2,95.58
2025-01-23,Team C,David,77,92.7,297,4.56,3,96.37
2025-09-18,Team A,Aaron,79,87.02,284,4.89,1,95.36
2025-05-11,Team C,Lisa,98,91.6,369,4.3,1,94.06
2025-06-30,Team A,Nicole,62,87.96,259,4.34,2,98.55
2025-07-10,Team D,John,102,98.34,353,4.03,3,98.4
2025-10-17,Team D,Aaron,83,100,350,4.98,1,97.66
2025-04-19,Team A,Sophia,76,88.47,484,4.36,1,95.51
2025-04-21,Team B,Kevin,86,89.76,293,4.8,1,93.76
2025-07-07,Team D,Sarah,69,96.86,264,4.34,1,95.61
2025-05-19,Team C,Grace,81,92.71,291,4.49,4,98.22
2025-11-17,Team A,Lisa,77,91.01,307,4.27,5,98.2
2025-04-08,Team D,Nicole,79,92.09,352,4.92,1,97.68
2025-09-15,Team A,Lisa,66,90.25,279,4.5,2,97.7
2025-05-08,Team A,Jason,109,91.77,359,4.64,0,94.36
2025-07-10,Team B,Aaron,104,94.57,359,4.3,3,91.66
2025-10-23,Team A,David,95,85.72,447,3.86,2,94.96
2025-08-22,Team B,Amy,87,89.57,260,4.88,2,94.93
2025-11-10,Team C,Mary,92,91.89,333,4.25,2,95.79
2025-07-25,Team C,Daniel,86,92,302,4.07,3,94.69
2025-02-15,Team D,Lisa,79,100,384,4.4,2,97.73
2025-07-14,Team B,Daniel,86,91.07,336,3.83,0,94.91
2025-07-10,Team A,Amy,68,89.34,246,3.95,1,97.45
2025-01-23,Team B,Alex,91,98.88,360,4.31,3,93.06
2025-10-02,Team C,Lisa,50,88.16,403,4.73,1,95.95
2025-05-08,Team B,Amy,84,97.83,366,4.05,0,92.06
2025-03-24,Team C,Alex,104,94.1,318,4.85,3,90.07
2025-11-11,Team D,Sarah,63,97.59,304,4.11,4,99.55
2025-11-04,Team C,Daniel,79,88.45,331,4.38,2,96.64
2025-11-11,Team D,Grace,70,93.92,384,4.05,0,95.44
2025-02-19,Team C,Sarah,93,89.69,272,4.1,4,95.43
2025-01-02,Team A,Jason,111,91.14,222,3.93,1,93.69
2025-09-30,Team D,Nicole,74,91.22,248,4.61,1,96.65
2025-10-30,Team D,Daniel,99,96.16,359,4.31,2,98.12
2025-07-28,Team C,Lisa,81,89.98,330,4.73,0,97.81
2025-08-30,Team A,Jason,101,90.71,321,4.27,1,95.61
2025-10-12,Team D,Nicole,88,93.6,343,4.51,3,93.33
2025-06-09,Team D,Alex,75,90.34,281,4.43,2,93.98
2025-04-03,Team D,Emma,60,90.98,311,4.07,1,94.93
2025-02-03,Team D,John,77,93.02,314,4.34,3,96.55
2025-11-16,Team D,Ryan,79,95.65,406,4.19,2,96.25
2025-07-21,Team B,Amy,121,96.14,309,4.63,5,94.46
2025-03-05,Team A,Amy,74,90.31,300,3.88,2,91.74
2025-12-09,Team A,Emma,93,93.99,338,4.74,3,95.51
2025-09-19,Team C,Alex,72,90.24,232,3.96,1,95.93
2025-12-20,Team B,Ryan,79,95.95,298,4.13,2,98.42
2025-11-25,Team D,Daniel,87,95.14,377,3.96,3,96.9
2025-07-23,Team B,Mary,84,87.99,340,4.88,0,94.9
2025-03-08,Team C,Aaron,75,93.84,325,4.56,2,98.76
2025-04-30,Team A,Michael,71,94.84,264,4.68,1,95.41
2025-02-09,Team A,Chris,88,95.52,254,4.45,4,95.8
2025-04-12,Team D,Michael,101,92.75,369,3.68,0,96.84
2025-03-27,Team C,Jason,69,99.19,300,4.32,2,99.09
2025-06-12,Team D,Lisa,75,94.26,262,4.62,1,95.28
2025-06-09,Team A,John,81,89.99,336,4.57,0,93.34
2025-05-18,Team B,Jason,83,91.95,310,4.19,2,95.34
2025-11-20,Team D,Sarah,77,93.81,268,4.05,2,94.65
2025-03-02,Team D,Chris,87,93.42,263,4.3,2,95.85
2025-04-23,Team B,Daniel,68,95.32,362,4.57,2,95.01
2025-08-01,Team A,Rachel,85,91.37,258,4.53,2,95.2
2025-07-02,Team A,Lisa,98,97.19,256,4.1,3,99.39
2025-08-27,Team A,Olivia,110,90.91,337,4.21,3,93.75
2025-08-13,Team C,Ryan,97,96.82,192,4.28,1,90.01
2025-07-24,Team C,Sarah,80,95.92,390,4.38,2,97.8
2025-08-03,Team D,Ryan,73,93.53,229,4.13,0,94.63
2025-09-12,Team A,Grace,88,88.65,271,4.16,1,96.41
2025-07-01,Team D,Grace,63,89.01,305,3.64,2,95.4
2025-12-11,Team D,Daniel,102,93.34,322,4.19,2,94.95
2025-02-13,Team B,Kevin,63,91.78,272,4.54,2,93.64
2025-05-02,Team C,Rachel,105,91.77,332,4.55,1,94
2025-12-21,Team B,Ryan,79,95.1,383,4.55,4,94.94
2025-03-04,Team A,Sophia,97,94.98,234,3.95,4,95.18
2025-01-10,Team A,Mary,70,98.04,202,4.66,5,98.14
2025-07-21,Team C,Chris,88,93.45,348,4.02,3,99.09
2025-08-28,Team B,Amy,67,89.3,257,3.99,2,96.38
2025-11-20,Team C,John,64,87.81,423,4.35,1,96.07
2025-05-20,Team A,Grace,79,90.9,319,4.44,3,97.33
2025-08-04,Team C,Sophia,66,89.27,323,4.48,1,94.29
2025-06-01,Team D,Emma,91,88.57,328,4.47,3,100
2025-09-16,Team B,Michael,82,96.34,343,4.05,2,97.94
2025-11-19,Team D,Sarah,91,96.31,371,4.46,4,96.84
2025-06-25,Team A,John,55,93.74,328,4.06,1,98.67
2025-06-04,Team C,Alex,77,93.62,309,4.65,1,94.2
2025-01-27,Team B,Jason,79,93.13,305,4.17,0,94
2025-04-22,Team B,Emma,80,89.88,354,4.5,2,96.32
2025-10-31,Team B,Michael,60,89.12,349,4.42,4,96.5
2025-03-08,Team B,Nicole,83,95.75,222,3.98,2,96.01
2025-02-11,Team A,Sarah,100,95.27,357,4.33,4,94.45
2025-02-13,Team C,Rachel,86,90.45,320,4.5,2,99.36
2025-11-09,Team B,Mary,91,86.98,323,4.65,3,93.25
2025-09-12,Team A,Ryan,82,89.93,391,4.45,3,96.97
2025-11-25,Team B,Chris,80,98.27,287,3.73,1,96.24
2025-08-16,Team A,Grace,102,93.72,411,4.14,2,96.06
2025-05-10,Team D,Amy,98,89.11,438,4.66,1,97.63
2025-09-22,Team B,Mary,102,91.02,294,4.82,4,94.9
2025-10-12,Team C,Jason,85,95.69,352,4.22,1,96.18
2025-12-13,Team B,Emma,61,93.58,371,4.34,1,96.54
2025-09-21,Team C,Kevin,84,91.06,337,4.34,4,94.41
2025-01-10,Team C,Sophia,83,96.38,400,4.69,0,98.54
2025-12-02,Team C,Sophia,93,87.79,295,5,1,99.68
2025-04-05,Team A,Jason,89,95.53,414,3.73,2,99.79
2025-04-02,Team D,Rachel,94,95.47,221,4.28,3,93.61
2025-02-06,Team C,David,48,94.08,304,4.62,1,93.32
2025-10-11,Team D,Sarah,80,94.72,344,4.54,1,94.54
2025-12-04,Team B,Kevin,96,93.62,317,4.2,1,93.29
2025-02-25,Team B,Amy,85,96.23,337,4.1,3,96.77
2025-04-11,Team D,Jason,117,95.25,235,4.32,1,97.17
2025-05-14,Team B,Jason,80,91.71,336,4.99,0,96.35
2025-01-24,Team B,Kevin,57,98.78,320,4.61,0,95.87
2025-09-19,Team C,Aaron,95,92.81,341,4.8,1,93.94
2025-06-11,Team C,Rachel,92,90.03,358,4.43,3,98.06
2025-10-29,Team D,Sarah,96,95.07,309,4.61,2,94.45
2025-12-17,Team B,Olivia,103,94.36,331,4.3,2,100
2025-07-05,Team C,Michael,104,92.49,272,3.94,3,95.36
2025-10-07,Team A,Amy,75,94.86,335,5,2,94.69
2025-03-20,Team B,John,92,93.76,282,4.31,1,96.04
2025-08-28,Team B,Rachel,95,90.96,394,4.12,2,98.37
2025-03-28,Team D,Mary,63,92.42,299,4.51,1,95.97
2025-11-26,Team A,Emma,69,86.51,239,4.27,0,95.43
2025-04-21,Team D,Sarah,89,94.52,278,4.85,2,98.82
2025-02-23,Team C,David,65,94.47,344,4.84,1,96.98
2025-05-12,Team B,Nicole,69,92.59,334,4.81,6,95.11
2025-09-08,Team C,Daniel,83,91.38,341,4.02,1,95.56
2025-10-14,Team D,Mary,96,91.62,298,4.39,1,96.08
2025-10-31,Team A,Nicole,88,91.17,320,4.36,2,98.13
2025-11-26,Team D,Nicole,55,93.09,348,4.18,2,97.5
2025-04-13,Team C,Olivia,85,91.86,447,4.67,1,97.78
2025-07-07,Team D,Kevin,106,88.65,262,4.39,0,93.29
2025-10-16,Team B,Sarah,95,91.57,318,4.68,1,92.43
2025-01-23,Team C,Sarah,90,93.72,306,4.39,2,93.76
2025-04-06,Team C,Sophia,63,89.51,318,4.28,4,94.8
2025-01-16,Team A,Ryan,80,91.22,298,4.3,0,95.14
2025-05-01,Team C,Grace,74,93.67,341,4.01,1,95.38
2025-08-03,Team A,Mary,107,90.61,321,4.63,4,96.9
2025-10-20,Team C,Michael,70,87.66,350,4.62,2,94.13
2025-12-07,Team B,Rachel,89,90.54,367,4.45,4,93.04
2025-07-10,Team B,Chris,87,91.12,372,4.49,2,98.07
2025-09-14,Team D,Kevin,84,94.53,287,4.5,3,94.3
2025-02-23,Team B,Chris,97,92.65,284,4.5,3,96.95
2025-08-19,Team B,Aaron,79,95.8,352,4.46,1,97.54
2025-02-07,Team A,Amy,96,96.3,296,4.72,5,95.22
2025-07-23,Team B,Aaron,92,88.13,314,4.44,1,92.83
2025-05-13,Team A,David,90,94.94,344,4.71,3,96.4
2025-07-03,Team B,Daniel,103,89.9,233,4.25,1,98.84
2025-10-13,Team D,Michael,114,94.46,270,4.74,4,95.54
2025-08-28,Team D,Sarah,82,94.52,269,4.17,2,96.26
2025-08-20,Team D,Kevin,49,95.31,308,4.88,2,95.24
2025-12-13,Team C,Daniel,114,90.18,251,4.34,3,97.38
2025-10-15,Team C,Mary,99,93.15,340,3.87,2,97.14
2025-05-14,Team A,Rachel,87,88.82,400,4.85,3,95.94
2025-09-10,Team A,Lisa,88,88.7,429,4.05,3,96.44
2025-07-20,Team D,David,76,91.9,375,4.28,1,97.33
2025-01-01,Team D,Daniel,89,96.89,352,4.61,3,97.45
2025-02-11,Team C,Alex,68,96.81,180,4.37,2,96.74
2025-11-22,Team A,Michael,89,92.2,256,4.52,1,95.73
2025-01-03,Team B,Mary,86,94.27,369,4.25,1,97.87
2025-05-13,Team C,Rachel,105,96.36,352,4.39,2,96.25
2025-05-02,Team D,Rachel,72,97.04,260,4.05,3,98.15
2025-11-10,Team B,Alex,109,93.29,347,4.06,4,98.53
2025-07-22,Team C,Olivia,63,95.73,349,4.57,1,95.22
2025-07-20,Team B,Mary,86,94.59,294,4.26,1,97.36
2025-02-12,Team D,Daniel,66,96.35,277,4.86,0,95.28
2025-08-19,Team C,David,81,94.2,336,4.26,2,97.72
2025-01-26,Team C,Grace,76,94.65,383,4.23,3,97
2025-04-18,Team A,Kevin,58,88.19,361,4.48,1,96.81
2025-11-17,Team C,Sarah,109,92.33,409,4.13,3,95.65
2025-04-16,Team B,Emma,96,89.01,281,4.3,0,97.99
2025-05-10,Team A,John,80,95.92,265,3.94,2,95.71
2025-07-29,Team B,Sophia,88,98.22,462,4.32,0,96.71
2025-03-09,Team C,Kevin,102,98.3,257,4.37,0,95.64
2025-11-16,Team B,Olivia,97,92.03,388,4.71,2,95.75
2025-07-03,Team A,Emma,78,91.13,360,3.94,2,98.97
2025-05-07,Team B,Michael,76,90.74,312,4.32,0,96.88
2025-09-10,Team C,John,61,95.22,364,4.59,1,98.54
2025-04-13,Team D,David,100,88.63,288,4.54,0,94.29
2025-07-07,Team D,Emma,78,90,298,4.75,3,96.44
2025-11-26,Team D,Alex,94,94.22,294,3.87,4,98.62
2025-10-31,Team C,Olivia,97,87.29,278,3.96,2,94.4
2025-08-06,Team D,Aaron,57,90.16,373,4.2,1,96.92
2025-10-06,Team A,Lisa,79,89.59,288,4.31,2,97.3
2025-10-01,Team C,Daniel,79,92.45,390,4.64,1,96.17
2025-10-27,Team A,Sarah,82,100,326,4.72,3,97.02
2025-02-12,Team D,Jason,76,94.43,315,5,3,98.27
2025-06-18,Team D,Alex,80,89.55,379,4.83,3,99.15
2025-10-13,Team D,Rachel,80,92.96,286,4.08,4,95.27
2025-09-11,Team D,Mary,85,98.03,439,4.56,2,95.07
2025-08-14,Team C,Olivia,89,90.69,345,3.88,1,96.37
2025-08-29,Team A,Mary,81,93.75,253,3.95,4,96.9
2025-05-02,Team A,Emma,67,93.3,321,4.48,2,93.09
2025-10-07,Team B,John,109,87.63,281,4.01,1,98.12
2025-01-31,Team A,Ryan,103,91.04,297,4.73,1,92.6
2025-02-07,Team D,Sarah,74,91.66,307,5,0,96.7
2025-04-07,Team A,Grace,47,93.99,334,4.56,1,96.56
2025-12-03,Team C,Sophia,76,91.48,343,4.31,4,97.04
2025-02-12,Team A,Sarah,71,89.29,352,4.52,3,93.9
2025-01-17,Team B,Olivia,86,97.49,319,4.81,2,96.39
2025-03-05,Team D,Jason,103,91.99,348,4.16,3,93.96
2025-12-28,Team D,Amy,68,91.3,300,4.6,1,99.39
2025-11-17,Team B,Aaron,41,93.23,336,4.91,4,95.74
2025-07-15,Team B,Aaron,77,87.64,269,3.96,4,100
2025-10-12,Team D,Ryan,100,95.86,338,4.4,3,97.7
2025-04-17,Team A,Daniel,81,96.65,330,4.48,1,95.85
2025-10-06,Team D,David,110,92.48,408,4.64,2,98.43
2025-03-18,Team B,Rachel,90,97.61,385,4.66,3,92.54
2025-04-17,Team C,Michael,73,92.99,280,5,4,95.66
2025-02-17,Team A,Rachel,88,90.52,271,4.1,0,96.14
2025-07-28,Team C,John,55,94.44,346,4.58,1,95.83
2025-07-06,Team D,Emma,86,97.87,265,4.92,3,96.27
2025-08-04,Team B,Mary,82,90.51,321,4.27,0,96.16
2025-05-12,Team B,Chris,86,91.7,345,4.63,0,99.42
2025-05-17,Team B,Alex,98,94.64,356,4.83,3,98.15
2025-08-15,Team A,Michael,112,91.68,305,4.76,1,94.09
2025-11-22,Team C,Emma,104,95.72,307,4.95,0,96.16
2025-12-07,Team C,Jason,95,93.87,436,4.52,0,93.05
2025-02-16,Team C,Sophia,79,97.57,341,4.12,5,94.02
2025-01-31,Team B,Michael,100,96.8,310,4.22,3,91.89
2025-12-11,Team A,Ryan,74,91.32,311,4.44,2,96.72
2025-03-16,Team B,Grace,89,94.24,344,4.04,5,95.04
2025-07-20,Team D,Mary,69,88.62,250,4.33,1,93.27
2025-03-09,Team B,Mary,93,97.03,338,4.76,6,95.87
2025-07-25,Team C,David,102,97.14,347,4.65,3,98.45
2025-02-01,Team C,Aaron,85,90.04,291,4.41,3,95.38
2025-05-04,Team B,Mary,90,91.62,359,4.58,1,95.35
2025-10-18,Team D,Grace,91,95.92,314,4.49,1,100
2025-06-10,Team B,Jason,99,93.24,308,4.8,2,96.19
2025-06-10,Team C,Sarah,119,93.64,263,4.82,4,94.87
2025-12-19,Team D,Grace,69,94.04,340,4.02,2,98.33
2025-03-18,Team C,Michael,89,100,245,4.44,1,99.5
2025-07-01,Team B,Kevin,112,95.74,253,4.25,2,100
2025-08-22,Team D,Jason,95,93.93,401,5,4,92.89
2025-04-03,Team D,Sophia,100,91.94,270,4.5,2,96.4
2025-10-31,Team B,Nicole,94,94.88,330,3.9,1,96.28
2025-09-30,Team B,Grace,85,92.64,390,4.4,1,100
2025-04-30,Team A,Daniel,94,88.76,292,4.38,0,95.5
2025-06-19,Team C,Daniel,74,95.43,218,4.11,1,97.69
2025-12-17,Team C,Alex,87,88.45,342,4.25,2,94.24
2025-11-15,Team D,David,59,94.66,254,4.43,6,97.19
2025-12-02,Team D,Amy,69,89.73,324,4.57,1,94.26
2025-12-31,Team B,Chris,106,90.61,348,4.36,0,94.55
2025-07-29,Team B,Rachel,88,89.29,381,4.21,3,99.34
